Past Modifications,Bodykit_Spoiler,custom paint or wrap,Past_custom paint/wrap,New_rims/Tyre,Past_RimsTyre,P1_Modifications,P2_Modifications,P3_Modification,performance enhancements,smart features ,user_id,rating,P3_Modifications
0,0,0,0,1,0,1,1,0,0,0,47,4,1
0,0,0,0,1,0,1,0,0,0,0,18,2,1
0,0,0,1,0,0,0,0,0,0,1,19,1,1
0,0,0,0,0,0,1,1,0,0,0,10,3,0
0,1,1,0,0,0,0,0,0,0,1,54,3,1
0,0,0,0,0,0,0,0,0,0,1,60,4,1
0,0,0,0,1,0,0,0,0,0,0,33,5,1
0,1,0,0,1,0,1,1,0,0,0,69,3,1
0,1,0,0,0,0,1,1,0,1,0,26,4,1
0,0,0,0,0,0,0,0,0,0,0,17,4,0
0,1,0,0,1,0,1,0,0,0,0,51,5,1
0,0,0,0,0,0,1,1,0,1,0,41,5,0
0,0,1,0,0,0,0,1,0,0,1,39,3,1
0,0,0,0,1,0,0,0,0,0,0,43,3,0
0,0,0,0,0,0,1,1,0,0,0,44,4,1
0,0,0,0,0,0,1,1,1,0,1,7,4,1
0,1,0,0,0,0,0,0,0,0,1,20,4,0
0,0,0,0,0,0,0,0,0,0,0,60,3,0
0,0,1,0,1,0,1,0,0,1,0,55,5,0
0,1,1,0,0,0,1,1,0,0,0,53,4,0
0,1,0,0,0,0,1,1,0,0,0,26,5,1
0,0,1,0,0,0,1,1,0,1,0,0,5,1
0,0,0,0,1,0,0,0,0,0,0,6,3,1
0,0,0,0,1,0,0,1,0,0,0,3,3,0
0,0,0,0,0,0,1,1,0,0,0,6,3,1
0,0,0,0,1,0,1,0,0,1,0,55,4,1
0,0,0,0,0,0,0,1,0,0,0,55,4,1
0,1,1,0,0,0,1,0,0,0,0,52,4,1
0,0,0,0,0,0,0,1,0,0,0,4,4,1
0,0,0,0,0,0,1,0,0,0,0,50,5,1
0,0,1,0,1,0,0,1,0,0,1,30,4,1
0,1,0,0,1,0,1,1,0,0,0,20,3,0
0,0,1,0,0,0,1,1,0,0,1,54,3,0
0,0,1,0,0,0,0,1,0,1,0,65,3,1
0,0,0,0,1,0,0,1,0,0,0,55,3,0
0,0,0,0,1,0,1,1,0,0,1,5,3,0
0,0,0,1,0,0,1,1,0,0,0,57,5,1
0,1,0,0,0,0,0,1,0,1,1,5,4,1
0,0,0,0,1,0,0,1,0,0,0,34,3,1
0,1,1,0,1,0,1,0,0,0,1,8,3,1
0,0,0,0,0,0,1,0,0,0,1,3,3,0
0,0,1,0,1,0,0,1,0,0,1,20,3,1
0,0,0,0,0,0,0,1,0,0,0,70,3,0
0,0,1,0,1,0,1,1,0,0,0,62,2,0
0,1,0,0,0,0,1,0,0,0,0,32,4,0
0,1,0,0,0,0,1,1,0,0,0,66,4,1
0,0,0,0,1,0,0,1,0,1,0,13,5,1
0,0,1,0,0,0,1,1,0,0,0,33,4,1
0,1,0,0,1,0,1,1,1,0,0,6,4,1
0,0,0,0,1,0,0,0,0,0,0,7,5,1
0,1,1,0,0,0,1,1,0,0,0,41,2,1
0,1,0,0,0,0,0,1,0,0,0,58,5,1
0,0,0,0,1,0,1,1,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,0,56,3,0
0,1,0,0,1,0,0,1,0,1,0,52,5,1
0,1,0,0,0,0,1,1,0,0,0,5,3,0
0,0,0,0,0,0,1,1,0,0,0,11,5,1
0,0,1,0,0,0,1,1,0,0,1,54,3,1
0,0,0,0,0,0,1,1,0,0,0,46,4,1
0,1,0,0,0,0,1,1,0,0,0,53,3,1
0,0,0,0,0,0,0,0,0,0,1,69,3,0
0,0,0,0,0,0,1,0,0,0,0,23,5,1
0,0,0,0,0,0,0,1,0,0,0,35,3,0
0,1,0,0,0,0,1,1,0,0,1,42,3,1
0,0,0,0,0,0,0,0,0,0,0,69,1,0
0,0,0,0,0,0,1,0,0,0,0,18,5,1
0,0,0,0,0,0,1,1,0,0,1,57,3,1
0,0,0,0,0,0,1,1,0,0,0,36,3,0
0,0,0,0,0,0,1,0,0,0,0,2,4,1
0,0,0,0,0,0,0,0,0,0,0,61,5,1
0,0,0,0,0,0,1,1,0,0,0,66,5,0
0,0,0,0,1,0,0,0,0,1,1,67,3,0
0,0,0,0,0,0,0,0,0,0,0,25,2,1
0,1,0,0,0,1,1,0,0,1,0,70,4,1
0,0,0,0,0,0,1,1,0,0,0,26,4,0
0,0,0,0,0,0,0,1,0,0,0,20,4,1
0,0,0,0,1,1,1,1,0,0,1,2,5,1
0,0,1,0,0,0,1,1,0,0,0,49,2,1
0,1,0,0,0,0,1,1,0,0,0,12,3,1
0,1,0,0,0,0,1,1,0,0,1,50,3,1
0,0,0,0,0,0,1,1,0,1,0,40,3,0
0,0,0,0,1,1,0,1,0,0,0,13,4,1
0,1,0,0,0,0,1,1,0,0,0,55,5,1
0,1,1,0,0,1,0,0,0,0,0,23,3,0
0,0,0,0,1,0,0,1,0,0,1,29,1,1
0,0,1,0,0,0,1,1,0,1,0,5,3,0
0,1,0,0,1,0,0,1,0,0,1,55,2,0
0,1,0,0,0,0,1,0,0,0,1,12,4,1
0,0,0,0,0,0,1,0,0,0,0,43,3,1
0,0,0,0,0,0,0,1,0,0,0,65,4,1
0,1,0,0,0,0,0,1,0,1,0,25,5,0
0,1,0,0,0,0,0,1,0,0,1,60,3,0
0,1,0,0,0,0,1,1,0,0,0,37,4,0
0,1,0,0,0,0,0,1,0,1,1,63,5,1
0,0,0,0,1,0,0,0,0,0,0,32,3,1
0,0,0,0,1,0,0,0,0,0,0,23,5,0
0,1,0,0,0,0,0,0,0,1,1,38,5,1
0,0,0,0,0,0,1,0,0,0,0,38,5,0
0,0,1,0,1,0,1,0,0,0,0,68,3,1
0,1,0,0,1,0,1,1,0,1,0,3,5,0
0,0,0,0,1,0,1,0,0,0,0,34,3,0
0,0,0,0,1,0,0,1,0,0,0,51,4,1
0,0,1,0,0,0,1,0,0,0,0,36,1,1
0,0,0,0,0,0,1,1,0,1,1,2,3,1
0,1,0,0,1,0,1,0,0,1,1,27,2,0
0,0,1,0,0,0,1,1,0,1,1,3,4,0
0,1,0,0,0,0,1,1,0,1,0,70,3,0
0,0,0,0,0,0,0,0,0,0,1,57,3,0
0,0,0,0,1,0,0,1,0,0,0,63,3,0
0,0,1,0,0,0,0,1,0,0,0,16,3,1
0,0,0,0,0,0,1,1,0,0,0,31,5,1
0,1,0,0,0,0,1,0,0,0,0,32,1,0
0,0,0,0,1,0,0,1,0,0,1,23,4,1
0,0,0,0,0,0,1,0,0,1,1,22,3,1
0,1,1,0,1,0,1,0,0,0,1,21,4,0
0,1,0,0,0,1,0,1,0,1,0,26,3,0
0,0,0,0,1,0,0,1,0,0,0,67,3,1
0,0,0,0,0,0,0,1,0,1,0,38,3,1
0,1,0,0,0,0,1,0,0,0,0,30,2,1
0,1,0,0,0,0,0,1,0,0,0,68,4,1
0,0,0,0,1,0,1,0,0,1,0,34,3,1
0,0,1,0,0,0,1,1,0,0,0,35,5,1
0,0,0,0,0,0,1,1,0,1,0,35,3,1
0,1,0,0,0,0,1,1,0,0,1,23,5,1
0,0,0,0,0,0,1,0,0,0,0,44,5,1
0,0,0,0,0,0,1,1,0,0,0,5,3,0
0,0,0,0,0,0,0,1,0,0,0,30,4,1
0,0,0,0,0,0,0,0,0,0,0,20,4,0
0,0,0,0,0,0,0,1,0,0,1,23,3,1
0,0,0,0,1,0,1,1,0,0,1,45,1,1
0,0,0,0,1,0,0,1,0,0,1,66,4,0
0,1,1,0,1,0,1,1,0,0,1,21,3,1
0,0,0,0,1,0,1,1,0,0,0,41,5,1
0,1,0,0,1,0,0,1,0,0,0,35,4,0
0,0,1,0,0,0,0,1,0,1,0,37,4,1
0,0,0,0,0,0,1,0,0,0,0,58,3,1
0,0,1,0,1,0,1,1,0,0,1,43,3,0
0,0,0,0,1,0,0,0,0,0,0,50,3,1
0,0,1,0,0,0,0,1,0,1,0,50,2,1
0,0,0,0,0,0,1,0,0,0,1,16,5,0
0,1,0,0,0,0,1,1,0,1,0,68,3,0
0,1,0,0,1,0,1,1,0,0,0,37,2,1
0,0,0,0,0,0,0,1,0,1,0,36,3,1
1,0,0,0,0,0,1,1,0,0,1,11,3,0
0,0,0,0,0,0,1,1,0,0,0,40,3,0
1,0,0,0,1,0,1,0,0,0,0,33,5,1
1,1,0,0,1,0,1,1,0,0,1,63,3,1
0,0,0,0,1,0,1,1,0,1,0,21,5,1
0,1,0,0,1,0,1,1,0,0,0,33,1,1
0,0,0,0,0,0,1,0,0,0,0,44,4,1
0,0,1,0,0,0,0,1,0,1,0,0,5,1
0,1,0,0,0,0,1,1,0,1,0,38,2,0
0,1,0,0,1,0,1,0,0,0,0,31,4,1
0,0,0,0,0,0,0,1,0,0,0,26,4,1
0,0,1,0,1,0,1,1,0,0,0,0,3,0
0,0,0,0,0,0,1,1,0,1,1,11,4,0
0,0,0,0,1,0,1,0,0,0,0,67,5,1
0,0,0,0,0,0,1,1,0,0,0,4,4,1
0,1,0,1,0,0,1,0,0,0,0,60,4,0
0,0,0,0,0,0,0,0,0,0,0,64,3,1
0,0,0,0,1,0,1,0,0,1,1,18,4,1
0,1,0,0,0,0,1,1,0,0,0,53,4,1
0,1,0,0,1,0,1,0,0,1,0,17,4,0
0,0,0,0,0,0,1,0,0,0,0,68,2,1
0,1,0,0,1,0,0,0,0,0,1,57,5,1
0,0,1,0,0,0,1,1,0,1,0,70,3,1
0,0,0,0,0,0,1,1,0,0,0,9,1,1
1,0,0,0,1,0,1,1,0,1,1,65,5,1
0,0,0,0,1,0,1,1,0,0,0,31,5,1
1,1,0,0,0,0,0,1,0,0,1,61,3,1
0,0,0,0,0,0,1,1,0,0,0,16,4,1
0,1,0,0,1,0,1,1,0,0,0,69,3,1
0,0,0,0,1,0,1,0,0,0,0,66,3,0
0,0,0,0,0,0,0,0,0,0,0,16,3,1
0,1,0,0,0,0,0,1,0,1,0,3,3,0
0,0,0,0,1,0,1,0,0,0,0,25,4,1
0,0,0,0,0,0,1,1,0,0,1,39,5,1
0,0,0,0,1,0,1,1,0,0,0,54,3,1
0,0,0,0,1,0,1,0,0,0,1,62,4,1
0,0,0,0,1,0,1,0,0,0,1,70,3,1
0,0,0,0,0,0,1,0,0,0,1,65,5,1
0,0,0,0,1,0,0,0,0,0,0,29,3,1
0,0,0,0,0,0,1,1,0,0,0,37,4,0
0,0,0,0,0,0,0,1,0,0,0,40,4,0
0,1,0,0,1,0,1,1,0,1,0,7,4,1
0,0,0,0,0,0,0,1,0,1,0,63,3,0
0,0,0,1,0,0,1,0,0,0,0,3,4,1
0,0,0,0,0,0,0,0,0,0,0,5,4,1
0,0,1,0,1,0,0,0,0,0,0,21,3,1
0,0,0,0,0,0,0,0,0,0,1,17,3,0
0,0,0,0,1,0,0,1,0,1,1,57,3,1
0,0,0,0,1,0,1,0,0,0,0,26,3,1
0,0,1,0,0,0,1,1,0,0,0,3,3,1
0,0,0,0,0,1,1,0,0,0,1,53,5,1
0,0,0,0,0,0,1,0,0,0,0,67,4,0
0,0,0,0,1,0,0,1,0,0,0,39,3,0
0,0,0,0,0,1,1,1,0,0,0,29,3,0
0,1,1,0,0,0,1,1,0,0,0,4,4,1
0,0,1,0,0,0,0,1,0,0,1,25,5,1
0,1,0,0,1,0,1,0,0,0,0,41,2,0
0,0,0,0,0,0,0,1,0,0,0,20,3,1
0,1,1,0,0,0,0,0,0,0,1,39,1,0
0,0,0,0,1,0,1,0,0,1,0,70,5,1
0,1,1,0,1,0,1,0,0,0,1,13,5,0
0,0,0,0,0,0,1,1,0,1,0,67,5,1
0,0,0,0,0,0,0,0,0,0,0,37,5,1
0,1,0,0,1,0,0,0,0,1,0,46,4,1
0,1,0,0,0,0,0,0,0,0,0,42,5,0
0,1,0,0,1,0,1,0,0,0,0,45,1,1
0,0,0,0,0,0,1,1,0,0,0,11,4,1
0,0,0,0,1,0,1,0,0,0,0,61,2,1
0,0,0,0,0,1,1,1,0,1,1,67,3,1
0,0,0,0,1,0,0,1,0,0,0,41,5,1
0,0,0,0,0,0,0,0,0,0,0,10,4,0
0,0,0,0,0,0,1,1,0,0,0,55,5,1
0,0,1,0,0,0,0,1,0,0,0,16,2,0
0,0,1,0,1,0,1,0,0,1,0,54,4,0
0,1,0,0,0,0,1,1,0,0,0,55,3,1
0,0,0,0,1,0,0,0,0,0,1,14,2,0
0,0,1,0,0,0,1,1,0,0,0,50,2,0
0,0,0,0,0,0,1,1,0,0,1,4,3,1
0,0,0,0,0,0,1,0,0,1,1,25,4,1
0,1,0,0,1,0,1,0,0,0,0,24,4,0
0,0,0,0,1,0,1,0,0,0,1,54,5,0
0,0,1,0,1,0,1,1,0,1,0,48,5,1
0,0,0,0,0,0,1,1,0,0,1,69,3,1
0,0,0,0,0,0,0,0,0,0,1,15,5,0
0,0,0,0,1,0,0,1,0,0,0,35,2,1
0,0,0,0,0,0,1,0,0,1,1,8,4,1
1,0,0,0,0,0,1,1,0,1,0,29,5,0
1,0,1,0,0,0,1,0,0,0,1,68,5,1
0,0,0,0,1,0,1,1,0,0,0,2,5,0
0,1,0,0,1,0,0,1,0,0,0,15,4,0
0,0,0,0,0,0,1,1,0,0,1,32,3,1
0,0,0,0,0,0,1,1,0,0,0,16,3,1
0,0,0,0,0,0,0,0,0,0,1,10,5,1
0,0,0,0,0,0,1,1,0,0,0,60,3,1
0,0,0,0,0,0,1,1,0,1,0,26,2,1
0,0,0,0,0,0,1,1,0,0,0,5,3,1
0,0,0,0,0,0,0,0,0,1,0,60,4,1
0,0,1,0,1,0,0,0,0,1,0,27,4,1
0,0,0,0,0,0,1,0,0,1,0,66,3,0
0,0,1,0,0,0,0,1,0,0,0,33,4,1
0,0,0,0,1,0,1,0,0,0,0,21,5,1
0,0,0,0,0,0,1,1,0,0,0,46,2,0
0,0,0,0,0,0,0,0,0,0,0,41,3,1
0,1,0,0,0,0,1,1,0,0,1,13,3,0
0,0,0,0,1,0,0,0,0,0,0,59,3,1
0,0,0,0,1,0,1,0,0,1,1,55,3,1
0,0,0,0,1,0,0,1,0,0,0,40,4,1
0,0,0,0,0,0,1,0,0,1,0,57,3,1
0,0,0,0,0,0,1,1,0,0,0,47,4,1
0,0,1,0,0,0,1,0,0,1,0,64,3,0
0,0,0,0,0,0,1,0,0,0,0,0,3,1
0,0,0,0,0,0,0,1,1,0,0,38,2,1
0,1,1,0,1,0,1,1,0,0,0,61,3,1
0,0,1,0,0,0,1,0,0,1,0,4,3,0
0,0,0,0,1,0,1,1,0,0,1,10,3,1
0,0,1,0,0,0,1,1,0,0,0,0,3,1
0,0,0,0,0,0,1,1,0,1,1,17,3,1
0,0,0,0,0,0,0,1,0,1,1,46,5,0
0,0,0,0,0,0,1,0,0,0,0,63,3,1
0,0,0,0,1,0,1,1,0,0,0,42,4,1
0,0,0,0,0,0,1,1,0,0,0,58,4,1
0,0,0,0,0,0,1,0,0,0,0,33,2,0
0,0,0,0,1,0,0,1,0,1,0,68,4,0
0,1,0,0,1,0,0,1,0,1,0,18,3,1
0,1,0,0,0,0,1,0,0,0,0,60,3,1
0,0,0,0,0,0,1,0,0,1,0,19,3,0
0,0,0,0,1,0,0,1,0,0,1,29,3,0
0,1,0,0,1,0,1,1,0,0,0,12,3,0
0,0,0,0,1,0,0,1,0,0,0,37,5,1
0,0,0,0,0,0,1,0,0,0,0,58,4,1
0,0,0,0,1,0,1,1,0,1,0,47,3,1
1,0,0,0,0,0,1,1,0,0,0,5,4,1
0,0,0,0,0,0,0,1,0,0,0,38,4,0
0,0,1,0,0,0,0,1,0,0,0,41,3,0
0,1,0,0,0,0,1,1,0,0,0,66,5,1
0,0,0,0,0,0,0,0,0,0,1,30,3,0
0,0,0,0,0,0,0,0,0,0,1,70,5,1
0,0,0,0,0,0,1,1,0,1,0,2,4,0
0,0,0,0,0,0,0,1,0,1,0,49,3,0
0,1,1,0,0,0,0,1,0,1,0,6,3,1
0,0,0,0,1,0,1,1,0,1,0,48,3,1
0,0,0,0,1,0,1,1,0,0,0,56,3,1
0,0,0,0,1,0,1,0,0,1,0,7,3,1
0,0,0,0,0,0,0,0,0,0,0,12,3,0
0,0,0,0,0,0,1,1,0,0,0,12,5,0
1,1,0,0,0,0,1,1,0,0,0,60,3,1
0,0,0,0,1,0,0,0,0,0,0,52,3,1
0,0,0,0,0,0,0,1,0,0,0,42,3,1
0,1,0,0,0,0,0,1,0,0,0,38,4,1
0,0,1,0,0,0,1,0,0,0,1,4,3,0
0,0,0,0,1,0,1,0,0,0,1,57,5,0
0,0,1,0,1,0,1,1,0,1,1,60,3,1
0,0,0,0,0,0,1,1,0,0,0,36,3,0
0,0,0,0,0,0,0,1,0,0,0,14,4,1
0,0,0,0,1,0,0,1,0,0,0,55,3,1
0,0,0,0,1,0,0,1,0,1,0,18,5,1
0,0,0,0,0,0,1,1,0,0,1,57,4,1
0,0,0,0,0,0,1,1,0,0,0,35,4,1
0,0,0,0,1,0,0,0,0,0,1,61,4,1
0,0,0,0,0,0,0,1,0,1,1,29,1,0
0,0,1,0,0,0,0,1,0,0,0,53,5,1
0,0,0,0,1,0,0,0,0,0,0,15,3,0
0,0,0,0,0,0,0,1,0,1,1,21,3,1
0,0,0,0,0,1,1,0,0,0,0,38,3,1
0,0,0,0,1,0,0,1,0,0,0,64,3,1
0,0,1,1,0,0,1,1,0,0,1,31,4,0
0,0,0,0,1,0,1,1,0,0,0,47,3,1
0,0,0,0,0,0,1,1,0,0,0,26,3,1
0,0,0,0,0,0,1,0,0,0,0,58,5,0
0,0,0,1,0,0,0,0,0,0,1,15,2,1
0,0,0,0,1,0,0,1,0,0,0,44,4,1
0,0,1,0,0,0,0,0,0,0,0,40,3,1
0,0,0,0,0,0,1,1,0,1,0,36,5,0
0,0,0,0,0,0,1,1,0,0,0,32,5,1
0,1,0,0,1,0,1,1,0,0,0,58,3,1
0,0,0,0,1,0,1,0,0,0,0,48,5,1
0,0,0,0,0,0,1,1,0,0,0,49,3,0
0,0,0,0,0,0,0,1,0,0,1,1,3,1
0,0,0,0,0,0,1,1,0,1,0,18,5,1
0,0,0,0,1,0,0,1,0,1,0,10,1,1
0,0,0,0,0,0,1,1,0,1,0,47,3,0
0,0,0,0,0,0,0,1,0,0,1,1,4,1
0,0,0,0,0,0,1,1,0,0,1,14,3,1
0,0,0,0,0,0,0,0,0,0,0,70,1,1
0,0,0,0,1,0,0,1,0,0,0,13,4,1
0,0,0,0,0,0,1,1,0,0,0,50,5,0
0,1,0,0,1,0,0,0,0,0,0,22,4,0
0,0,0,0,0,0,1,1,0,1,0,9,5,1
0,0,0,0,1,0,0,1,0,0,0,16,3,1
0,0,0,0,1,0,0,0,0,0,0,0,3,0
0,1,0,0,0,0,1,1,0,1,0,32,5,0
0,0,0,0,0,0,1,1,0,1,1,11,4,1
0,0,0,0,0,0,0,1,0,0,1,40,4,1
0,0,0,0,0,0,1,0,0,0,0,61,4,0
0,0,0,0,1,0,0,0,0,1,0,55,5,1
0,1,0,0,1,0,0,1,0,0,0,20,2,0
0,0,0,0,1,0,0,1,0,0,1,52,3,1
0,1,0,0,0,0,1,1,0,0,0,20,4,1
0,0,0,0,0,0,1,1,0,0,0,22,3,0
0,0,0,0,1,0,1,1,0,1,0,51,5,1
0,0,1,0,0,0,0,1,0,1,0,68,1,1
0,0,0,1,0,0,1,1,0,0,0,12,3,0
1,0,1,1,0,0,1,1,0,0,0,49,2,0
0,0,1,0,1,0,0,0,0,0,1,21,3,0
0,0,0,0,0,0,1,1,0,1,0,0,5,0
0,0,0,0,0,0,1,1,0,0,1,55,3,0
0,0,0,0,1,0,1,0,0,0,0,19,3,1
0,0,1,0,0,0,1,1,0,0,0,34,2,1
0,1,0,0,1,0,1,1,0,0,0,28,3,1
0,1,0,0,0,0,1,1,0,1,0,9,3,1
0,0,0,0,0,0,0,0,0,0,0,31,5,1
0,0,0,0,1,0,0,1,0,0,0,47,1,1
0,1,1,0,0,0,1,1,0,0,0,36,3,1
0,1,0,0,1,0,0,1,0,0,0,27,5,1
0,1,0,0,1,0,0,0,0,0,0,49,3,1
0,1,1,0,0,0,1,0,0,1,1,60,4,1
0,0,0,0,0,0,1,1,0,1,0,14,3,1
0,1,0,0,0,0,1,0,0,0,1,3,3,1
0,0,0,0,0,0,1,0,0,0,0,67,3,1
0,0,0,0,1,0,1,1,0,0,0,43,3,1
0,1,0,0,0,0,1,0,0,0,0,3,3,1
1,0,0,0,1,0,1,1,0,1,1,17,3,0
0,1,0,0,0,0,1,0,0,0,1,3,3,0
0,0,1,0,0,0,0,0,0,1,1,4,1,0
0,0,0,0,0,0,1,0,0,1,0,17,5,0
0,0,0,0,0,0,1,1,1,0,1,25,5,0
0,1,0,0,0,0,1,0,0,0,0,62,3,0
1,0,0,0,0,0,1,1,0,0,1,28,3,1
0,0,0,0,0,0,1,0,0,0,0,35,4,1
0,0,0,0,1,0,1,0,0,0,0,3,3,1
0,0,0,0,0,0,1,1,0,0,0,19,4,1
0,0,0,0,0,0,1,0,0,0,1,31,3,1
0,0,0,0,0,1,1,0,0,0,1,1,5,1
0,0,0,0,0,0,1,1,0,0,0,62,5,1
0,0,0,0,0,0,0,1,0,0,1,21,5,1
0,1,0,0,0,0,0,1,0,0,1,43,2,1
0,1,0,0,1,0,0,0,0,0,1,64,4,1
0,0,0,0,1,0,1,0,0,0,0,34,4,1
0,0,0,0,1,0,0,1,0,0,0,42,3,0
0,0,0,0,1,0,1,1,0,1,0,9,1,0
0,0,0,0,0,0,1,1,0,0,0,18,1,1
0,0,0,0,1,0,1,0,0,0,0,7,5,0
0,0,0,0,0,0,0,1,0,0,0,68,5,0
0,0,0,0,0,0,1,0,0,0,0,57,5,0
0,0,0,0,0,0,1,1,0,0,1,2,2,1
0,0,0,0,0,0,1,0,0,0,0,36,5,1
0,0,0,0,0,0,1,1,0,0,0,66,2,1
0,1,0,0,0,0,1,1,0,0,1,60,3,1
0,0,1,0,0,0,1,0,0,0,0,12,2,0
0,1,0,0,0,0,1,0,0,0,0,6,4,1
0,0,0,0,0,0,1,1,0,0,1,23,3,0
0,0,1,0,1,0,1,1,0,0,0,21,4,1
1,0,0,0,0,0,1,0,0,1,0,20,3,0
0,0,0,0,0,0,1,0,0,0,0,17,5,0
0,0,0,0,1,0,0,1,0,0,1,29,2,1
0,0,0,0,0,0,0,1,0,0,1,39,5,1
0,0,1,0,0,0,0,1,0,1,0,59,5,0
0,0,0,0,0,0,1,1,0,1,0,62,2,1
0,0,0,0,0,0,0,0,0,0,0,25,3,0
0,0,1,0,1,0,0,0,0,0,1,0,3,1
0,0,0,0,1,0,0,0,0,0,1,21,3,0
0,0,1,0,0,0,1,0,0,0,1,42,2,1
0,0,0,0,1,0,0,0,0,0,1,17,3,1
0,0,0,0,0,0,0,1,0,0,1,27,3,1
0,0,0,0,0,0,1,0,0,0,0,63,4,1
0,0,0,0,0,0,1,1,0,1,1,46,1,0
0,0,0,0,0,0,0,0,1,0,1,16,4,0
0,1,0,0,0,0,0,1,0,1,0,16,4,1
0,0,0,0,1,0,0,0,0,0,0,26,3,0
0,0,0,0,0,0,1,1,0,1,0,51,3,0
0,1,0,1,0,0,0,0,0,0,0,19,1,1
0,0,0,0,1,0,1,0,0,0,0,31,3,1
0,0,1,0,0,0,1,0,0,1,1,15,4,1
0,0,0,0,0,0,0,1,0,0,0,3,2,1
0,0,1,0,0,0,1,1,0,1,0,15,2,1
0,0,1,0,1,0,1,1,0,1,0,59,5,0
0,0,1,0,0,0,0,1,0,0,1,25,4,0
0,1,0,0,0,0,1,1,0,0,1,2,3,1
0,1,1,0,0,0,1,1,0,0,0,49,5,1
0,0,0,0,0,0,1,0,0,0,0,18,3,0
0,0,0,0,1,0,1,1,0,0,0,4,4,0
0,0,0,0,0,0,1,0,0,1,0,48,4,0
0,1,0,0,1,0,1,1,0,0,1,56,3,1
0,1,0,0,1,0,1,0,0,0,0,26,4,1
0,0,0,0,1,0,1,1,0,1,0,5,5,1
0,0,0,0,1,0,1,1,0,0,0,24,3,1
0,1,0,0,1,0,1,1,0,0,0,15,3,0
0,1,0,0,0,0,1,1,0,1,0,63,4,0
0,0,1,0,1,0,1,0,0,0,0,70,4,1
0,0,1,0,0,0,1,1,0,1,0,62,3,1
0,0,0,0,1,0,1,0,0,0,0,62,3,1
0,0,1,1,0,0,1,0,0,0,1,40,4,1
0,0,0,0,0,0,1,0,0,0,0,37,3,1
1,0,0,0,1,0,0,1,0,1,0,4,5,1
0,0,0,0,0,0,1,0,0,0,0,15,2,1
0,1,0,0,0,0,1,1,0,0,1,19,3,1
0,0,0,0,0,0,1,0,0,1,0,40,4,0
0,0,0,0,0,0,1,1,0,0,0,20,4,0
0,0,1,0,1,0,1,0,0,1,0,7,3,1
0,0,0,0,1,0,0,1,0,0,0,4,2,0
0,0,0,0,0,0,0,0,0,1,0,9,3,0
0,1,0,0,0,0,1,1,0,0,0,37,5,1
0,0,0,0,1,0,0,0,0,0,1,67,3,0
0,0,0,0,0,0,0,1,0,0,0,68,4,0
0,1,1,0,1,0,1,0,0,1,0,70,3,1
0,0,0,0,0,0,1,1,0,1,1,44,2,0
0,0,0,0,1,0,0,0,0,1,0,24,3,1
0,0,0,0,0,0,1,0,0,0,1,23,4,1
0,1,0,0,1,1,1,0,0,0,0,70,3,1
0,0,0,0,0,0,1,0,0,0,1,38,4,1
0,0,0,0,1,0,0,1,0,1,0,68,1,0
0,0,1,0,1,0,1,0,0,1,0,37,5,0
0,1,0,0,1,0,0,1,0,1,0,32,4,0
0,1,0,0,1,0,0,0,0,0,0,54,3,0
0,0,0,0,1,0,0,1,0,0,0,21,5,0
0,1,0,0,0,0,1,1,0,0,1,33,3,0
0,0,0,0,1,0,1,1,0,0,0,68,3,1
0,0,0,0,0,0,1,0,0,0,0,7,3,1
0,1,0,0,0,0,1,0,0,0,0,3,3,1
0,0,0,0,1,0,0,1,0,0,1,70,3,1
0,0,0,0,1,0,1,1,0,1,0,30,1,0
0,0,1,0,1,0,0,1,0,0,0,55,5,0
0,0,0,0,1,0,1,0,0,0,1,57,5,0
0,0,1,0,0,0,1,1,0,0,0,59,5,1
0,0,0,0,0,1,0,1,0,0,0,5,2,1
0,0,0,0,1,1,1,1,0,0,0,33,4,1
0,1,1,0,0,0,1,1,0,0,0,13,3,1
0,1,0,0,0,0,1,0,0,0,0,23,3,1
0,0,0,1,1,1,1,1,0,0,0,40,4,1
0,0,1,0,0,0,0,1,0,0,0,20,2,0
0,0,1,0,1,0,1,1,0,0,0,2,3,1
0,0,0,0,0,0,1,0,0,1,1,21,4,0
0,0,0,0,0,0,1,1,0,0,1,29,1,0
0,1,1,0,0,0,1,0,0,0,0,9,4,1
1,0,0,0,1,0,1,0,0,0,0,11,3,1
0,0,0,0,0,0,1,1,0,0,0,28,2,1
0,0,0,0,1,0,1,0,0,0,0,63,2,1
0,1,0,0,1,0,0,1,0,0,0,7,5,0
0,0,0,0,0,0,1,0,0,0,0,40,4,1
0,0,0,0,0,0,0,0,0,0,1,23,2,1
0,1,0,0,1,0,1,0,0,0,0,21,3,1
0,1,0,0,0,0,0,0,0,1,0,62,5,0
0,0,1,0,1,0,1,0,0,0,0,31,3,1
1,0,0,0,0,0,1,1,0,0,0,37,4,1
0,1,0,0,0,0,0,0,0,0,0,0,3,0
0,1,0,0,0,0,1,1,0,0,1,27,5,1
0,0,0,0,1,0,1,0,0,0,0,6,2,1
0,1,0,0,0,0,0,1,0,0,0,51,2,1
0,0,0,0,1,0,1,1,0,0,0,60,4,0
0,0,1,0,1,0,1,1,0,1,0,68,3,1
0,0,0,0,1,0,1,1,0,0,1,30,3,1
0,0,0,0,0,0,1,1,0,0,0,68,2,1
0,0,1,0,0,0,0,1,0,0,1,32,3,1
